filename,avg_motion
GLhXYRDqAOA-0:01:07.133-0:01:40.233.mp4,61.049397
HS7bDgxaDAk-0:07:36.789-0:07:44.997.mp4,62.159695
K9r0l7WQ5yY-0:03:12.108-0:03:16.196.mp4,62.203259
FEdrbl_tndQ-0:05:45.360-0:06:01.360.mp4,62.666233
8YyfFwFFqPk-0:05:52.966-0:05:55.033.mp4,63.410133
RyiQU17R4Ew-0:07:44.664-0:07:50.636.mp4,64.240967
4LoZLzmZa0Y-0:05:10.977-0:05:13.104.mp4,64.480652
KOpvLGlgjyw-0:03:15.662-0:03:18.097.mp4,64.868423
RyT1_V4LexQ-0:13:23.302-0:13:37.483.mp4,65.278526
69bU8WDzIaM-0:01:37.500-0:01:46.100.mp4,66.806618
G7j9YYbGg54-0:06:45.080-0:07:01.160.mp4,67.748444
82_LJz76NSs-0:11:38.320-0:11:50.360.mp4,69.359535
MB34bDP3coM-0:10:40.598-0:10:48.981.mp4,71.385117
IixybOTqSuI-0:01:31.608-0:01:45.738.mp4,72.337685
Hfym1eFqynY-0:01:54.047-0:02:01.554.mp4,73.524956
N_Kb7Hu0ETg-0:12:00.886-0:12:03.122.mp4,74.034882
DY8X18VqFHk-0:02:07.827-0:02:31.317.mp4,74.247147
LWb1dQHFdyA-0:02:59.646-0:03:05.585.mp4,74.700424
Rwf70uP-ZbM-0:01:41.768-0:01:47.841.mp4,76.490379
Edt9WC-2zeM-0:03:41.204-0:03:49.679.mp4,80.391495
Etj0x9VD0tI-0:06:17.377-0:06:30.089.mp4,80.629768
DUjxzdKZ-KA-0:01:53.488-0:01:56.991.mp4,82.088020
24ahXANM8fM-0:06:38.564-0:06:51.411.mp4,82.903366
ODjTB4d6NvA-0:02:02.831-0:02:05.375.mp4,85.950409
EUa0yuMvXxs-0:01:04.197-0:01:09.803.mp4,87.584991
Jdz36pzGFvQ-0:15:25.391-0:15:32.064.mp4,88.291565
SsWQXcfKQrw-0:11:30.222-0:11:38.230.mp4,89.173065
2sRm6rBsjVI-0:04:19.892-0:04:46.119.mp4,90.552338
CNxCYhi9OgY-0:03:29.600-0:03:35.616.mp4,91.253029
KKx4cUZEyMI-0:03:43.633-0:03:47.233.mp4,91.952171
GG71p1r91cg-0:06:57.125-0:07:06.843.mp4,93.847595
LwF1Mj-fG-Y-0:03:22.200-0:03:25.080.mp4,106.740028
CG7FOthZ5DQ-0:02:14.050-0:02:18.388.mp4,108.211403
UegxT8rPHrY-0:07:03.523-0:07:12.832.mp4,112.196327
3JDPYkONYn8-0:09:21.227-0:09:29.235.mp4,115.659111
C_zHSJaDL2M-0:00:36.669-0:00:42.042.mp4,130.181778
OUanWcM_vj4-0:04:10.216-0:04:12.485.mp4,155.779007
